truck_id,lon,lat,time,unixtime,index,alternatives_count,waypoint_index,matchings_index,name,distance,hint,lon_match,lat_match,matching_confidence,distance_traveled,duration,osm_nodes,osm_speeds,osm_durations,osm_distances,n_osm_points,speed,outlier
XE 5705G,103.6476686,1.33225,2020-10-30 06:18:39,1604038719,0,0.0,0.0,0.0,,37.880567,2y8CgN4vAgAAAAAAwwAAAAAAAAAAAAAAAAAAAMo5okIAAAAAAAAAAAAAAADDAAAAAAAAAAAAAACDCwAA6ogtBgdTFAC1iS0GGlQUAAAAbwi8byAW,103.647466,1.331975,,,,,,,,,,False
XE 5705G,103.6476396,1.33213983,2020-10-30 06:18:44,1604038724,1,,,0.0,,,,103.647466,1.331975,,,,,,,,,,True
XE 5705G,103.64688259999998,1.33064433,2020-10-30 06:19:12,1604038752,2,0.0,1.0,0.0,,4.000667,uicAgJgiAQAOAAAAMQAAABwAAAAAAAAATZCCQW1yVULCmPdBAAAAAA4AAAAxAAAAHAAAAAAAAACDCwAAioYtBrpNFACjhi0G1E0UAAIAnxO8byAW,103.646858,1.330618,0.005132,302.8,56.1,"[5270400578, 5270400580, 7146806753, 5270400581, 4491946735, 5270389049, 4491946731, 5270400585, 5270389055, 4491946733, 7146814775, 310231415, 7146814780, 6038301462, 4491954002]","[4.2, 4.2, 4.2, 10.6, 11.1, 11.3, 11.6, 12.9, 6.8, 11.2, 10.9, 11.5, 10.9, 11.7]","[19.5, 3.4, 1.5, 0.2, 4.4, 1.4, 1, 0.3, 1.8, 4.1, 1.2, 1, 1.8, 1.4]","[81.314214, 14.23372, 6.29106, 2.12471, 48.862719, 15.88575, 11.64815, 3.860554, 12.271686, 45.851764, 13.077829, 11.485411, 19.533045, 16.359699]",15.0,5.397504456327987,False
XE 5705G,103.6465961,1.330864,2020-10-30 06:19:17,1604038757,3,0.0,2.0,0.0,,0.313758,uicAgJgiAQAyAAAADQAAABwAAAAAAAAAQb1gQtP0V0HCmPdBAAAAADIAAAANAAAAHAAAAAAAAACDCwAAhoUtBrJOFACEhS0GsE4UAAIAnxO8byAW,103.646598,1.330866,0.005132,40.0,3.6,"[6038301462, 4491954002]",[11.1],[3.6],[39.959128],2.0,11.111111111111107,False
XE 5705G,103.6462361,1.331156,2020-10-30 06:19:22,1604038762,4,0.0,3.0,0.0,,4.23761,lyIBgDpUAQAiAAAAQAAAAAAAAAAAAAAA11IXQljnjUIAAAAAAAAAACIAAABAAAAAAAAAAAAAAACDCwAANoQtBvBPFAAchC0G1E8UAAAAnxO8byAW,103.646262,1.331184,0.005132,51.4,4.7,"[6038301462, 4491954002, 4605939834]","[10.4, 11.2]","[1.3, 3.4]","[13.529353, 37.91933]",3.0,10.936170212765957,False
XE 5705G,103.6460128,1.33149983,2020-10-30 06:19:27,1604038767,5,0.0,4.0,0.0,,6.513189,lyIBgDpUAQBJAAAAGQAAAAAAAAAAAAAAOOGjQiu-1kEAAAAAAAAAAEkAAAAZAAAAAAAAAAAAAACDCwAAFYMtBgFRFAA9gy0GLFEUAAAAnxO8byAW,103.645973,1.331457,0.005132,44.2,3.9,"[4491954002, 4605939834]",[11.3],[3.9],[44.212267],2.0,11.333333333333336,False
XE 5705G,103.6456886,1.3318435,2020-10-30 06:19:32,1604038772,6,0.0,5.0,0.0,,9.572705,KyIBADlUAYAlAAAAFwAAAAAAAAAAAAAAFtIkQrUOzEEAAAAAAAAAACUAAAAXAAAAAAAAAAAAAACDCwAAvoEtBkVSFAD5gS0GhFIUAAAAXwi8byAW,103.64563,1.331781,0.005132,52.5,4.8,"[4491954002, 4605939834, 4491946730]","[10.8, 11.1]","[2.5, 2.3]","[26.905565, 25.567038]",3.0,10.9375,False
XE 5705G,103.644994,1.33251583,2020-10-30 06:19:43,1604038783,7,0.0,6.0,0.0,,11.138478,JyIBACwiAYAFAAAADgAAAAAAAAAuAAAAyFjLQNTDb0EAAAAAvhVNQgUAAAAOAAAAAAAAAC4AAACDCwAA_H4tBtxUFABCfy0GJFUUAAAAbwi8byAW,103.644924,1.332444,0.005132,107.7,9.7,"[4605939834, 4491946730, 6315733238, 4491946728]","[11.2, 11.2, 10.7]","[3.7, 4.6, 1.4]","[41.301609, 51.387861, 15.021693]",4.0,11.103092783505156,False
XE 5705G,103.6447511,1.33276117,2020-10-30 06:19:48,1604038788,8,4.0,7.0,0.0,,12.166924,KCIBgKkwAgAIAAAABAAAABQAAAAAAAAAcwMTQb9OikDM47JBAAAAAAgAAAAEAAAAFAAAAAAAAACDCwAABX4tBshVFABPfi0GGVYUAAEAjxO8byAW,103.644677,1.33268,0.005132,38.0,3.3,"[6315733238, 4491946728, 6375744029, 5270604192]","[12.7, 11.2, 11.5]","[0.5, 2, 0.8]","[6.370161, 22.41524, 9.208965]",4.0,11.515151515151516,False
XE 5705G,103.6445963,1.332924,2020-10-30 06:19:53,1604038793,9,7.0,8.0,0.0,,13.653502,wicAgKgwAoAaAAAAEwAAABwAAAAAAAAAEFroQdbFpUFNYfxBAAAAABoAAAATAAAAHAAAAAAAAACDCwAAYH0tBmJWFAC0fS0GvFYUAAEAXwi8byAW,103.644512,1.332834,0.005132,25.1,2.3,"[6375744029, 5270604192, 6038296779]","[10.8, 10.9]","[0.4, 1.9]","[4.331468, 20.769853]",3.0,10.913043478260873,False
XE 5705G,103.6446155,1.33290583,2020-10-30 06:20:03,1604038803,10,,,0.0,,,,103.644512,1.332834,,,,,,,,,,True
XE 5705G,103.6446156,1.33290233,2020-10-30 06:20:08,1604038808,11,,,0.0,,,,103.644512,1.332834,,,,,,,,,,True
XE 5705G,103.644611,1.332891,2020-10-30 06:20:13,1604038813,12,,,0.0,,,,103.644512,1.332834,,,,,,,,,,True
XE 5705G,103.6446103,1.332881,2020-10-30 06:20:18,1604038818,13,,,0.0,,,,103.644512,1.332834,,,,,,,,,,True
XE 5705G,103.6446118,1.33284783,2020-10-30 06:20:24,1604038824,14,,,0.0,,,,103.644512,1.332834,,,,,,,,,,True
XE 5705G,103.6446128,1.33281833,2020-10-30 06:20:30,1604038830,15,,,0.0,,,,103.644512,1.332834,,,,,,,,,,True
XE 5705G,103.6446071,1.33276333,2020-10-30 06:20:35,1604038835,16,31.0,9.0,0.0,,7.780760000000001,KCIBAKkwAoAMAAAAAAAAABQAAAAAAAAA_ClYQQAAAADM47JBAAAAAAwAAAAAAAAAFAAAAAAAAACDCwAA6H0tBuJVFAC_fS0GG1YUAAEAjxO8byAW,103.644648,1.332706,0.005132,20.8,1.9,"[6038296779, 5270604192, 6375744029]","[10.9, 10.9]","[1.9, 0]","[20.769853, 0]",3.0,10.947368421052632,False
XE 5705G,103.6446028,1.332743,2020-10-30 06:20:40,1604038840,17,,,0.0,,,,103.644648,1.332706,,,,,,,,,,True
XE 5705G,103.6445986,1.3327305,2020-10-30 06:20:46,1604038846,18,,,0.0,,,,103.644648,1.332706,,,,,,,,,,True
XE 5705G,103.6445976,1.3327255,2020-10-30 06:20:50,1604038850,19,,,0.0,,,,103.644648,1.332706,,,,,,,,,,True
XE 5705G,103.644603,1.33271633,2020-10-30 06:20:56,1604038856,20,,,0.0,,,,103.644648,1.332706,,,,,,,,,,True
XE 5705G,103.64461,1.33270917,2020-10-30 06:21:01,1604038861,21,,,0.0,,,,103.644648,1.332706,,,,,,,,,,True
XE 5705G,103.6446141,1.332704,2020-10-30 06:21:06,1604038866,22,,,0.0,,,,103.644648,1.332706,,,,,,,,,,True
XE 5705G,103.6446158,1.33270283,2020-10-30 06:21:11,1604038871,23,,,0.0,,,,103.644648,1.332706,,,,,,,,,,True
XE 5705G,103.6446148,1.33270367,2020-10-30 06:21:15,1604038875,24,,,0.0,,,,103.644648,1.332706,,,,,,,,,,True
XE 5705G,103.6446153,1.33270567,2020-10-30 06:21:20,1604038880,25,,,0.0,,,,103.644648,1.332706,,,,,,,,,,True
XE 5705G,103.6446146,1.33270833,2020-10-30 06:21:26,1604038886,26,,,0.0,,,,103.644648,1.332706,,,,,,,,,,True
XE 5705G,103.6446138,1.332708,2020-10-30 06:21:31,1604038891,27,,,0.0,,,,103.644648,1.332706,,,,,,,,,,True
XE 5705G,103.644608,1.3327235,2020-10-30 06:21:36,1604038896,28,,,0.0,,,,103.644648,1.332706,,,,,,,,,,True
XE 5705G,103.6446045,1.3327305,2020-10-30 06:21:41,1604038901,29,,,0.0,,,,103.644648,1.332706,,,,,,,,,,True
XE 5705G,103.6446045,1.3327355,2020-10-30 06:21:45,1604038905,30,,,0.0,,,,103.644648,1.332706,,,,,,,,,,True
XE 5705G,103.6446073,1.332735,2020-10-30 06:21:51,1604038911,31,,,0.0,,,,103.644648,1.332706,,,,,,,,,,True
XE 5705G,103.644611,1.332734,2020-10-30 06:21:56,1604038916,32,,,0.0,,,,103.644648,1.332706,,,,,,,,,,True
XE 5705G,103.6446173,1.33273133,2020-10-30 06:22:01,1604038921,33,,,0.0,,,,103.644648,1.332706,,,,,,,,,,True
XE 5705G,103.644624,1.33272617,2020-10-30 06:22:06,1604038926,34,,,0.0,,,,103.644648,1.332706,,,,,,,,,,True
XE 5705G,103.6446278,1.33272217,2020-10-30 06:22:11,1604038931,35,,,0.0,,,,103.644648,1.332706,,,,,,,,,,True
XE 5705G,103.6446268,1.33272083,2020-10-30 06:22:17,1604038937,36,,,0.0,,,,103.644648,1.332706,,,,,,,,,,True
XE 5705G,103.6446258,1.3327195,2020-10-30 06:22:23,1604038943,37,,,0.0,,,,103.644648,1.332706,,,,,,,,,,True
XE 5705G,103.6446225,1.33271933,2020-10-30 06:22:28,1604038948,38,,,0.0,,,,103.644648,1.332706,,,,,,,,,,True
XE 5705G,103.6446196,1.3327195,2020-10-30 06:22:33,1604038953,39,,,0.0,,,,103.644648,1.332706,,,,,,,,,,True
XE 5705G,103.6446178,1.33272017,2020-10-30 06:22:39,1604038959,40,,,0.0,,,,103.644648,1.332706,,,,,,,,,,True
XE 5705G,103.6446181,1.332722,2020-10-30 06:22:44,1604038964,41,,,0.0,,,,103.644648,1.332706,,,,,,,,,,True
XE 5705G,103.6446155,1.33272333,2020-10-30 06:22:50,1604038970,42,,,0.0,,,,103.644648,1.332706,,,,,,,,,,True
XE 5705G,103.6446118,1.33272517,2020-10-30 06:22:55,1604038975,43,,,0.0,,,,103.644648,1.332706,,,,,,,,,,True
XE 5705G,103.6446071,1.33272767,2020-10-30 06:23:00,1604038980,44,,,0.0,,,,103.644648,1.332706,,,,,,,,,,True
XE 5705G,103.644612,1.33272517,2020-10-30 06:23:05,1604038985,45,,,0.0,,,,103.644648,1.332706,,,,,,,,,,True
XE 5705G,103.6446168,1.33272667,2020-10-30 06:23:11,1604038991,46,,,0.0,,,,103.644648,1.332706,,,,,,,,,,True
XE 5705G,103.6446163,1.33273083,2020-10-30 06:23:16,1604038996,47,,,0.0,,,,103.644648,1.332706,,,,,,,,,,True
XE 5705G,103.6446158,1.332726,2020-10-30 06:23:21,1604039001,48,,,0.0,,,,103.644648,1.332706,,,,,,,,,,True
XE 5705G,103.6446061,1.3327245,2020-10-30 06:23:27,1604039007,49,,,0.0,,,,103.644648,1.332706,,,,,,,,,,True
XE 5705G,103.6445913,1.3327295,2020-10-30 06:23:32,1604039012,50,,,0.0,,,,103.644648,1.332706,,,,,,,,,,True
XE 5705G,103.6445676,1.33275133,2020-10-30 06:23:38,1604039018,51,,,0.0,,,,103.644648,1.332706,,,,,,,,,,True
XE 5705G,103.6445708,1.33273883,2020-10-30 06:23:43,1604039023,52,,,0.0,,,,103.644648,1.332706,,,,,,,,,,True
XE 5705G,103.6445638,1.33273417,2020-10-30 06:23:48,1604039028,53,,,0.0,,,,103.644648,1.332706,,,,,,,,,,True
XE 5705G,103.6445598,1.33273867,2020-10-30 06:23:53,1604039033,54,,,0.0,,,,103.644648,1.332706,,,,,,,,,,True
XE 5705G,103.6445625,1.33273783,2020-10-30 06:23:58,1604039038,55,,,0.0,,,,103.644648,1.332706,,,,,,,,,,True
XE 5705G,103.6445693,1.33273533,2020-10-30 06:24:04,1604039044,56,,,0.0,,,,103.644648,1.332706,,,,,,,,,,True
XE 5705G,103.6445328,1.33275367,2020-10-30 06:24:10,1604039050,57,0.0,0.0,1.0,,4.864751,wicAAKgwAoAhAAAADAAAABwAAAAAAAAAHEITQks3T0FNYfxBAAAAACEAAAAMAAAAHAAAAAAAAACDCwAAk30tBjJWFAB1fS0GElYUAAEAXwi8byAW,103.644563,1.332786,,,,,,,,,,False
XE 5705G,103.6444891,1.33277617,2020-10-30 06:24:15,1604039055,58,,,1.0,,,,103.644563,1.332786,,,,,,,,,,True
XE 5705G,103.6444831,1.33277333,2020-10-30 06:24:20,1604039060,59,,,1.0,,,,103.644563,1.332786,,,,,,,,,,True
XE 5705G,103.6444803,1.3327795,2020-10-30 06:24:25,1604039065,60,,,1.0,,,,103.644563,1.332786,,,,,,,,,,True
XE 5705G,103.6444756,1.3328065,2020-10-30 06:24:31,1604039071,61,,,1.0,,,,103.644563,1.332786,,,,,,,,,,True
XE 5705G,103.6444745,1.3328225,2020-10-30 06:24:36,1604039076,62,,,1.0,,,,103.644563,1.332786,,,,,,,,,,True
XE 5705G,103.6444741,1.332832,2020-10-30 06:24:41,1604039081,63,,,1.0,,,,103.644563,1.332786,,,,,,,,,,True
XE 5705G,103.6444815,1.33283117,2020-10-30 06:24:46,1604039086,64,,,1.0,,,,103.644563,1.332786,,,,,,,,,,True
XE 5705G,103.644484,1.33283317,2020-10-30 06:24:51,1604039091,65,,,1.0,,,,103.644563,1.332786,,,,,,,,,,True
XE 5705G,103.644487,1.33283883,2020-10-30 06:24:56,1604039096,66,,,1.0,,,,103.644563,1.332786,,,,,,,,,,True
XE 5705G,103.644491,1.33283483,2020-10-30 06:25:01,1604039101,67,0.0,1.0,1.0,,1.491901,wicAAKgwAoAYAAAAFQAAABwAAAAAAAAA9ObZQeM4tEFNYfxBAAAAABgAAAAVAAAAHAAAAAAAAACDCwAAVH0tBm1WFABLfS0GY1YUAAEAXwi8byAW,103.6445,1.332845,0.982003,9.6,0.9,"[5270604192, 6038296779]",[10.7],[0.9],[9.598935],2.0,10.666666666666666,False
XE 5705G,103.6444925,1.33283517,2020-10-30 06:25:06,1604039106,68,,,1.0,,,,103.6445,1.332845,,,,,,,,,,True
XE 5705G,103.6444998,1.33282467,2020-10-30 06:25:12,1604039112,69,,,1.0,,,,103.6445,1.332845,,,,,,,,,,True
XE 5705G,103.6445001,1.332823,2020-10-30 06:25:18,1604039118,70,,,1.0,,,,103.6445,1.332845,,,,,,,,,,True
XE 5705G,103.6444953,1.33282283,2020-10-30 06:25:24,1604039124,71,,,1.0,,,,103.6445,1.332845,,,,,,,,,,True
XE 5705G,103.644495,1.33283267,2020-10-30 06:25:29,1604039129,72,,,1.0,,,,103.6445,1.332845,,,,,,,,,,True
XE 5705G,103.644495,1.332864,2020-10-30 06:25:35,1604039135,73,,,1.0,,,,103.6445,1.332845,,,,,,,,,,True
XE 5705G,103.64449,1.33292283,2020-10-30 06:25:40,1604039140,74,,,1.0,,,,103.6445,1.332845,,,,,,,,,,True
XE 5705G,103.6444048,1.3329965,2020-10-30 06:25:45,1604039145,75,0.0,2.0,1.0,,5.02155,wicAAKgwAoAHAAAAJgAAABwAAAAAAAAA6yQAQfoGJ0JNYfxBAAAAAAcAAAAmAAAAHAAAAAAAAACDCwAA1nwtBuRWFAD1fC0GBVcUAAEAXwi8byAW,103.644374,1.332964,0.982003,19.3,1.7,"[5270604192, 6038296779]",[11.3],[1.7],[19.27408],2.0,11.352941176470587,False
XE 5705G,103.644165,1.33314017,2020-10-30 06:25:51,1604039151,76,0.0,3.0,1.0,,1.7256669999999998,wicAAKgwAoAIAAAAFAAAAAAAAAAtAAAArmsVQXarsUEAAAAA7A9HQggAAAAUAAAAAAAAAC0AAACDCwAAEHwtBp9XFAAFfC0GlFcUAAAAXwi8byAW,103.644176,1.333151,0.982003,30.3,2.7,"[5270604192, 6038296779, 310231426]","[11.5, 11.1]","[0.7, 2]","[8.02718, 22.261277]",3.0,11.222222222222221,False
XE 5705G,103.6438141,1.3334645,2020-10-30 06:25:57,1604039157,77,0.0,4.0,1.0,,2.589177,wScAgFAxAgAVAAAAJAAAABIAAAAzAAAACfvBQSegHEKiTZxBEZhhQhUAAAAkAAAAEgAAADMAAACDCwAAtnotBupYFACmei0G2VgUAAEAnxO8byAW,103.64383,1.333482,0.982003,53.3,4.7,"[6038296779, 310231426, 6038296777, 6199957099]","[11.7, 10.9, 11.6]","[0.8, 1.8, 2.1]","[9.360858, 19.584759, 24.305296]",4.0,11.340425531914892,False
XE 5705G,103.6434838,1.33379033,2020-10-30 06:26:02,1604039162,78,0.0,5.0,1.0,,2.039425,wScAgFAxAgAKAAAAKQAAAEsAAAAAAAAAvopCQZX1MEI-4qVCAAAAAAoAAAApAAAASwAAAAAAAACDCwAAaXktBitaFABceS0GHloUAAIArxO8byAW,103.643497,1.333803,0.982003,51.4,4.6,"[6038296777, 6199957099, 5270621713]","[10.9, 12.2]","[3.6, 1]","[39.249771, 12.189156]",3.0,11.173913043478262,False
XE 5705G,103.6431871,1.33406883,2020-10-30 06:26:07,1604039167,79,0.0,6.0,1.0,,3.373295,MzECAE8xAoALAAAAAQAAAAAAAAAAAAAAsE5BQVr5gj8AAAAAAAAAAAsAAAABAAAAAAAAAAAAAACDCwAASHgtBktbFAAzeC0GNVsUAAAAXwi8byAW,103.643208,1.334091,0.982003,45.4,4.2,"[6199957099, 5270621713, 5270621695]","[10.8, 10.3]","[4.1, 0.1]","[44.351953, 1.025296]",3.0,10.809523809523807,False
XE 5705G,103.6430156,1.33423783,2020-10-30 06:26:12,1604039172,80,0.0,7.0,1.0,,3.059631,ticAADQxAoASAAAADgAAACAAAAAAAAAAOBalQbuFaUFg-BBCAAAAABIAAAAOAAAAIAAAAAAAAACDCwAAm3ctBvJbFACIdy0G3lsUAAIAXwi8byAW,103.643035,1.334258,0.982003,26.7,2.5,"[5270621713, 5270621695, 6199957098]","[11, 10.5]","[1.1, 1.4]","[12.111263, 14.630004]",3.0,10.68,False
XE 5705G,103.642988,1.33429217,2020-10-30 06:26:18,1604039178,81,,,1.0,,,,103.643035,1.334258,,,,,,,,,,True
XE 5705G,103.64298829999998,1.334322,2020-10-30 06:26:24,1604039184,82,,,1.0,,,,103.643035,1.334258,,,,,,,,,,True
XE 5705G,103.6429886,1.33434,2020-10-30 06:26:29,1604039189,83,,,1.0,,,,103.643035,1.334258,,,,,,,,,,True
XE 5705G,103.6429915,1.33434483,2020-10-30 06:26:35,1604039195,84,,,1.0,,,,103.643035,1.334258,,,,,,,,,,True
XE 5705G,103.6429928,1.33434983,2020-10-30 06:26:41,1604039201,85,,,1.0,,,,103.643035,1.334258,,,,,,,,,,True
XE 5705G,103.6429923,1.3343525,2020-10-30 06:26:46,1604039206,86,,,1.0,,,,103.643035,1.334258,,,,,,,,,,True
XE 5705G,103.642993,1.334359,2020-10-30 06:26:51,1604039211,87,,,1.0,,,,103.643035,1.334258,,,,,,,,,,True
XE 5705G,103.6429895,1.33436283,2020-10-30 06:26:56,1604039216,88,,,1.0,,,,103.643035,1.334258,,,,,,,,,,True
XE 5705G,103.6429476,1.33439583,2020-10-30 06:27:02,1604039222,89,0.0,8.0,1.0,,4.314369,ticAADQxAoACAAAAHgAAACAAAAAAAAAAwOFDQHauAEJg-BBCAAAAAAIAAAAeAAAAIAAAAAAAAACDCwAAKXctBmBcFABEdy0GfFwUAAIAXwi8byAW,103.642921,1.334368,0.982003,17.6,1.6,"[5270621695, 6199957098]",[11],[1.6],[17.617682],2.0,11.0,False
XE 5705G,103.6429211,1.3344215,2020-10-30 06:27:07,1604039227,90,,,1.0,,,,103.642921,1.334368,,,,,,,,,,True
XE 5705G,103.6428991,1.33444183,2020-10-30 06:27:12,1604039232,91,,,1.0,,,,103.642921,1.334368,,,,,,,,,,True
XE 5705G,103.6428836,1.33445767,2020-10-30 06:27:17,1604039237,92,,,1.0,,,,103.642921,1.334368,,,,,,,,,,True
XE 5705G,103.6428616,1.334477,2020-10-30 06:27:22,1604039242,93,,,1.0,,,,103.642921,1.334368,,,,,,,,,,True
XE 5705G,103.6427756,1.33455967,2020-10-30 06:27:28,1604039248,94,0.0,9.0,1.0,,3.921971,ticAADQxAoAAAAAAFQAAAAsAAAAgAAAA16SgPg8Du0FC1khBhOwMQgAAAAAVAAAACwAAACAAAACDCwAAf3YtBgddFACYdi0GIF0UAAEAbwi8byAW,103.642751,1.334535,0.982003,26.5,2.3,"[5270621695, 6199957098, 7146806775]","[15.3, 11.2]","[0.2, 2.1]","[3.067877, 23.434671]",3.0,11.521739130434785,False
XE 5705G,103.6426543,1.33469217,2020-10-30 06:27:33,1604039253,95,0.0,10.0,1.0,,4.785958,rRkAALQnAIAFAAAABwAAAAAAAAAAAAAARt_SQLpp5EAAAAAAAAAAAAUAAAAHAAAAAAAAAAAAAACDCwAA_3UtBoZdFAAedi0GpF0UAAAAfwi8byAW,103.642623,1.334662,0.982003,20.1,3.8,"[6199957098, 7146806775, 310231413, 246629838]","[0, 11.4, 10.2]","[0, 1.1, 0.7]","[0.314553, 12.583053, 7.15653]",4.0,5.289473684210527,False
XE 5705G,103.6427676,1.33495033,2020-10-30 06:27:38,1604039258,96,0.0,11.0,1.0,,3.455919,rhkAgP___38MAAAALgAAAAoAAAB7AAAA4s6ZQQAwT0JNBGxBPXg-QwwAAAAuAAAACgAAAHsAAACDCwAAp3YtBpFeFACQdi0Gpl4UAAEArwK8byAW,103.642791,1.334929,0.982003,40.7,10.7,"[310231413, 246629838, 5953018539, 6048588821]","[13.2, 14.8, 16.1]","[0.5, 1, 1.2]","[6.607524, 14.791637, 19.279546]",4.0,3.8037383177570097,False
XE 5705G,103.6430733,1.33525,2020-10-30 06:27:43,1604039263,97,0.0,12.0,1.0,,1.179713,rhkAgP___38rAAAALgAAAAoAAAB7AAAAyEGFQs6ejEBNBGxBPXg-QysAAAAuAAAACgAAAHsAAACDCwAAyXctBstfFADBdy0G0l8UAAEArwK8byAW,103.643081,1.335243,0.982003,47.5,3.1,"[5953018539, 6048588821]",[15.3],[3.1],[47.535464],2.0,15.32258064516129,False
XE 5705G,103.6434478,1.33564083,2020-10-30 06:27:48,1604039268,98,0.0,13.0,1.0,,0.156879,rhkAgP___38jAAAAewAAADgAAAAAAAAAao9eQmXUBkM8jKtCAAAAACMAAAB7AAAAOAAAAAAAAACDCwAAOXktBlhhFAA4eS0GWWEUAAIArwK8byAW,103.643449,1.33564,0.982003,60.2,3.8,"[5953018539, 6048588821, 4606173614]","[14.7, 15.9]","[0.3, 3.5]","[4.406589, 55.795467]",3.0,15.842105263157894,False
XE 5705G,103.6439523,1.33617733,2020-10-30 06:27:54,1604039274,99,0.0,14.0,1.0,,0.6275149999999999,rhkAgP___39YAAAAewAAADgAAAAAAAAAEUMJQ7XUVEI8jKtCAAAAAFgAAAB7AAAAOAAAAAAAAACDCwAALHstBnVjFAAwey0GcWMUAAIArwK8byAW,103.643948,1.3361809999999998,0.982003,81.9,5.3,"[6048588821, 4606173614]",[15.4],[5.3],[81.851272],2.0,15.452830188679247,False
XE 5705G,103.6445033,1.33675133,2020-10-30 06:28:00,1604039280,100,0.0,15.0,1.0,,1.336285,LFYBgP___38KAAAAKwAAAA0AAAAAAAAAJaJ4QeZsS0IVo5tBAAAAAAoAAAArAAAADQAAAAAAAACDCwAATn0tBrdlFABXfS0Gr2UUAAEArwK8byAW,103.644494,1.336759,0.982003,88.4,5.8,"[6048588821, 4606173614, 6138933206, 535176011]","[15.2, 15, 15.6]","[3.5, 1.3, 1]","[53.356428, 19.502858, 15.583233]",4.0,15.24137931034483,False
XE 5705G,103.6449616,1.337226,2020-10-30 06:28:05,1604039285,101,0.0,16.0,1.0,,2.747011,T0IAgP___38OAAAAaQAAAAAAAAAoAAAAwYGzQTe-DEMAAAAA4vh2Qg4AAABpAAAAAAAAACgAAACDCwAAEH8tBptnFAAify0GimcUAAAAvwK8byAW,103.644944,1.337243,0.982003,73.5,4.7,"[6138933206, 535176011, 5684371399]","[15.5, 16.1]","[3.3, 1.4]","[50.99909, 22.499483]",3.0,15.638297872340429,False
XE 5705G,103.6453646,1.33765133,2020-10-30 06:28:10,1604039290,102,0.0,17.0,1.0,,2.6669400000000003,T0IAgP___384AAAAaQAAAAAAAAAoAAAAC_OuQs1pl0IAAAAA4vh2QjgAAABpAAAAAAAAACgAAACDCwAApIAtBkRpFAC1gC0GM2kUAAAAvwK8byAW,103.645348,1.337668,0.982003,65.2,4.2,"[535176011, 5684371399]",[15.5],[4.2],[65.212396],2.0,15.523809523809526,False
XE 5705G,103.6456845,1.33798583,2020-10-30 06:28:15,1604039295,103,0.0,18.0,1.0,,2.747011,T0IAgP___39ZAAAAaQAAAAAAAAAoAAAA_McKQ8Azw0EAAAAA4vh2QlkAAABpAAAAAAAAACgAAACDCwAA44EtBpNqFAD1gS0GgmoUAAAAvwK8byAW,103.645667,1.338003,0.982003,51.4,3.3,"[535176011, 5684371399]",[15.6],[3.3],[51.445083],2.0,15.575757575757574,False
XE 5705G,103.6460141,1.33830167,2020-10-30 06:28:21,1604039301,104,0.0,19.0,1.0,,5.1804,T0IAgP___38QAAAAKAAAAGkAAAAAAAAAiADRQZ94DkJsLiNDAAAAABAAAAAoAAAAaQAAAAAAAACDCwAAHIMtBt5rFAA-gy0GvmsUAAEAvwK8byAW,103.64598,1.338334,0.982003,50.7,3.2,"[535176011, 5684371399, 1343791136]","[15.3, 16.4]","[1.6, 1.6]","[24.466896, 26.196258]",3.0,15.84375,False
XE 5705G,103.6462645,1.33854633,2020-10-30 06:28:26,1604039306,105,0.0,20.0,1.0,,6.748636,Im0AgP___38CAAAAGgAAAAAAAAADAAAAf9pNQB5fFUIAAAAAMDKtQAIAAAAaAAAAAAAAAAMAAACDCwAADYQtBtxsFAA5hC0GsmwUAAAAvwK8byAW,103.646221,1.338588,0.982003,38.9,2.6,"[5684371399, 1343791136, 5529243483]","[14.9, 16.1]","[2.4, 0.2]","[35.714443, 3.225144]",3.0,14.96153846153846,False
XE 5705G,103.646476,1.338774,2020-10-30 06:28:31,1604039311,106,0.0,21.0,1.0,,6.278136,Im0AgP___38YAAAAGgAAAAAAAAADAAAATaAWQpbHOUAAAAAAMDKtQBgAAAAaAAAAAAAAAAMAAACDCwAA44QtBr1tFAAMhS0Glm0UAAAAvwK8byAW,103.646435,1.338813,0.982003,34.5,2.2,"[1343791136, 5529243483]",[15.7],[2.2],[34.533214],2.0,15.68181818181818,False
XE 5705G,103.6466075,1.33892117,2020-10-30 06:28:36,1604039316,107,0.0,22.0,1.0,,6.0551059999999985,UEIAgP___38IAAAAGwAAAAAAAAAAAAAAbqRVQRGS6EEAAAAAAAAAAAgAAAAbAAAAAAAAAAAAAACDCwAAZ4UtBk1uFACQhS0GKW4UAAAAnwK8byAW,103.646567,1.338957,0.982003,21.7,3.3,"[1343791136, 5529243483, 535176013, 568238362]","[14.6, 18.1, 16.7]","[0.2, 0.3, 0.8]","[2.910695, 5.426623, 13.391806]",4.0,6.575757575757576,False
XE 5705G,103.6466861,1.33899517,2020-10-30 06:28:41,1604039321,108,,,1.0,,,,103.646567,1.338957,,,,,,,,,,True
XE 5705G,103.6468238,1.339041,2020-10-30 06:28:47,1604039327,109,0.0,23.0,1.0,,2.983801,oEQAgP___38DAAAAOAAAAAAAAACxAQAAyrybQHlkpEIAAAAADQwoRAMAAAA4AAAAAAAAALEBAACDCwAAeoYtBrVuFABohi0GoW4UAAAATwi8byAW,103.646842,1.339061,0.982003,44.5,14.1,"[535176013, 568238362, 568238360, 6144064181]","[15.3, 15, 16.3]","[1.9, 0.7, 0.3]","[29.157769, 10.473197, 4.878057]",4.0,3.1560283687943262,False
